request_id,op,filename,bytes,rounds,forfeited_bytes,arrival_ns,start_ns,finish_ns
1,PUT,large.txt,153600,38,0,1862313077830000,1862313077835000,1862313079709000
2,PUT,longline.txt,160008,40,0,1862313079848000,1862313079850000,1862313081668000
3,PUT,medium.txt,30720,8,0,1862313081765000,1862313081768000,1862313082237000
4,PUT,small.txt,1024,1,0,1862313082307000,1862313082310000,1862313082520000
5,GET,longline.txt,160008,40,0,1862313082652000,1862313082655000,1862313095525000
6,PUT,small.txt,1024,1,0,1862313082720000,1862313082728000,1862313082954000
7,PUT,small.txt,1024,1,0,1862313082720000,1862313082739000,1862313083138000
8,GET,longline.txt,160008,40,0,1862313082808000,1862313082817000,1862313098014000
9,PUT,small.txt,1024,1,0,1862313082818000,1862313082869000,1862313083050000
10,GET,longline.txt,160008,40,0,1862313082822000,1862313082924000,1862313095640000
11,PUT,small.txt,1024,1,0,1862313082848000,1862313082968000,1862313083532000
12,GET,large.txt,153600,38,0,1862313082852000,1862313083029000,1862313221760000
13,PUT,large.txt,153600,38,0,1862313083216000,1862313083291000,1862313094141000
14,PUT,longline.txt,160008,40,0,1862313083318000,1862313083483000,1862313094681000
15,PUT,large.txt,153600,38,0,1862313083344000,1862313083534000,1862313094291000
16,PUT,small.txt,1024,1,0,1862313083767000,1862313083837000,1862313084053000
17,GET,medium.txt,30720,8,0,1862313084195000,1862313084278000,1862313111500000
18,GET,longline.txt,160008,40,0,1862313094315000,1862313094551000,1862313134073000
19,GET,medium.txt,30720,8,0,1862313094398000,1862313094684000,1862313124227000
20,PUT,medium.txt,30720,8,0,1862313094826000,1862313095143000,1862313105091000
21,PUT,small.txt,1024,1,0,1862313095633000,1862313095913000,1862313096089000
22,GET,medium.txt,30720,8,0,1862313095706000,1862313096035000,1862313126252000
23,GET,medium.txt,30720,8,0,1862313096170000,1862313097643000,1862313127191000
24,GET,longline.txt,160008,40,0,1862313098130000,1862313099684000,1862313143532000
25,PUT,longline.txt,160008,40,0,1862313105361000,1862313109644000,1862313147138000
26,PUT,small.txt,1024,1,0,1862313111623000,1862313113257000,1862313113499000
27,GET,small.txt,1024,1,0,1862313113619000,1862313114381000,1862313114788000
28,PUT,small.txt,1024,1,0,1862313114955000,1862313115385000,1862313115586000
29,PUT,small.txt,1024,1,0,1862313115701000,1862313116731000,1862313116921000
30,GET,medium.txt,30720,8,0,1862313117043000,1862313118172000,1862313146976000
31,PUT,large.txt,153600,38,0,1862313124471000,1862313125011000,1862313151008000
32,GET,small.txt,1024,1,0,1862313126373000,1862313126539000,1862313126929000
33,GET,medium.txt,30720,8,0,1862313127088000,1862313127229000,1862313153463000
34,GET,small.txt,1024,1,0,1862313127337000,1862313127694000,1862313128047000
35,PUT,medium.txt,30720,8,0,1862313128220000,1862313128352000,1862313131251000
36,PUT,medium.txt,30720,8,0,1862313131383000,1862313132111000,1862313138145000
37,GET,large.txt,153600,38,0,1862313134275000,1862313134794000,1862313281416000
38,GET,longline.txt,160008,40,0,1862313138286000,1862313138792000,1862313161281000
39,GET,longline.txt,160008,40,0,1862313143742000,1862313146079000,1862313161634000
40,PUT,large.txt,153600,38,0,1862313147141000,1862313147305000,1862313160376000
41,GET,longline.txt,160008,40,0,1862313147275000,1862313147456000,1862313166239000
42,PUT,small.txt,1024,1,0,1862313151271000,1862313151870000,1862313152071000
43,PUT,longline.txt,160008,40,0,1862313152218000,1862313152556000,1862313177803000
44,PUT,small.txt,1024,1,0,1862313153554000,1862313153692000,1862313153865000
45,PUT,small.txt,1024,1,0,1862313154082000,1862313154226000,1862313154649000
46,GET,longline.txt,160008,40,0,1862313154761000,1862313154932000,1862313192841000
47,GET,medium.txt,30720,8,0,1862313160467000,1862313160692000,1862313188161000
48,GET,large.txt,153600,38,0,1862313161344000,1862313161731000,1862313316942000
49,GET,large.txt,153600,38,0,1862313161771000,1862313163267000,1862313320672000
50,PUT,longline.txt,160008,40,0,1862313166408000,1862313167885000,1862313226935000
51,PUT,medium.txt,30720,8,0,1862313178040000,1862313180381000,1862313189630000
52,GET,longline.txt,160008,40,0,1862313188307000,1862313188940000,1862313248540000
53,GET,large.txt,153600,38,0,1862313189805000,1862313190686000,1862313342740000
54,GET,longline.txt,160008,40,0,1862313192950000,1862313194142000,1862313254701000
55,PUT,medium.txt,30720,8,0,1862313221863000,1862313222933000,1862313231174000
56,PUT,longline.txt,160008,40,0,1862313227119000,1862313227863000,1862313306705000
57,GET,large.txt,153600,38,0,1862313231314000,1862313232357000,1862313389512000
58,GET,large.txt,153600,38,0,1862313248748000,1862313250063000,1862313414462000
59,GET,medium.txt,30720,8,0,1862313254796000,1862313257416000,1862313292612000
60,PUT,large.txt,153600,38,0,1862313281690000,1862313283413000,1862313336153000
61,PUT,small.txt,1024,1,0,1862313292736000,1862313293840000,1862313294078000
62,GET,longline.txt,160008,40,0,1862313294259000,1862313295880000,1862313339629000
63,GET,medium.txt,30720,8,0,1862313307077000,1862313308937000,1862313334305000
64,PUT,small.txt,1024,1,0,1862313317199000,1862313318007000,1862313318214000
65,GET,longline.txt,160008,40,0,1862313318357000,1862313319682000,1862313345429000
66,PUT,longline.txt,160008,40,0,1862313320913000,1862313321984000,1862313344576000
67,PUT,longline.txt,160008,40,0,1862313334479000,1862313334761000,1862313350740000
68,PUT,longline.txt,160008,40,0,1862313336350000,1862313336470000,1862313351996000
69,PUT,longline.txt,160008,40,0,1862313339837000,1862313340216000,1862313362933000
70,PUT,medium.txt,30720,8,0,1862313342862000,1862313342959000,1862313345289000
71,PUT,medium.txt,30720,8,0,1862313344862000,1862313345047000,1862313348168000
72,GET,large.txt,153600,38,0,1862313345376000,1862313345484000,1862313505742000
73,GET,small.txt,1024,1,0,1862313345601000,1862313345831000,1862313346303000
74,GET,small.txt,1024,1,0,1862313346405000,1862313346481000,1862313347029000
75,PUT,longline.txt,160008,40,0,1862313347294000,1862313347758000,1862313393707000
76,PUT,small.txt,1024,1,0,1862313348556000,1862313348764000,1862313349033000
77,PUT,longline.txt,160008,40,0,1862313349405000,1862313349616000,1862313396903000
78,PUT,small.txt,1024,1,0,1862313350846000,1862313351080000,1862313351277000
79,PUT,large.txt,153600,38,0,1862313351511000,1862313352184000,1862313397510000
80,GET,medium.txt,30720,8,0,1862313352159000,1862313352403000,1862313385017000
81,GET,medium.txt,30720,8,0,1862313363097000,1862313363875000,1862313397690000
82,PUT,medium.txt,30720,8,0,1862313385185000,1862313386251000,1862313392214000
83,GET,longline.txt,160008,40,0,1862313389726000,1862313389898000,1862313414864000
84,PUT,large.txt,153600,38,0,1862313392406000,1862313392697000,1862313415403000
85,GET,small.txt,1024,1,0,1862313393812000,1862313394080000,1862313394836000
86,PUT,large.txt,153600,38,0,1862313395067000,1862313395581000,1862313416297000
87,PUT,small.txt,1024,1,0,1862313397064000,1862313397513000,1862313397867000
88,GET,medium.txt,30720,8,0,1862313398174000,1862313398481000,1862313426579000
89,GET,longline.txt,160008,40,0,1862313398237000,1862313398684000,1862313419383000
90,GET,small.txt,1024,1,0,1862313398246000,1862313398866000,1862313399535000
91,GET,small.txt,1024,1,0,1862313399658000,1862313399991000,1862313400512000
92,PUT,small.txt,1024,1,0,1862313400628000,1862313400990000,1862313401211000
93,GET,longline.txt,160008,40,0,1862313401300000,1862313401439000,1862313421065000
94,PUT,longline.txt,160008,40,0,1862313414743000,1862313414861000,1862313427563000
95,PUT,medium.txt,30720,8,0,1862313414970000,1862313415102000,1862313417369000
96,PUT,longline.txt,160008,40,0,1862313415870000,1862313416071000,1862313429435000
97,PUT,longline.txt,160008,40,0,1862313417176000,1862313417584000,1862313429019000
98,PUT,small.txt,1024,1,0,1862313417494000,1862313417770000,1862313418117000
99,PUT,large.txt,153600,38,0,1862313418251000,1862313418340000,1862313429542000
100,PUT,longline.txt,160008,40,0,1862313419695000,1862313419870000,1862313431635000
101,PUT,longline.txt,160008,40,0,1862313421238000,1862313421448000,1862313433789000
102,PUT,medium.txt,30720,8,0,1862313426817000,1862313426918000,1862313429326000
103,PUT,large.txt,153600,38,0,1862313427838000,1862313427935000,1862313441592000
104,GET,small.txt,1024,1,0,1862313429122000,1862313429373000,1862313430120000
105,PUT,longline.txt,160008,40,0,1862313429549000,1862313429656000,1862313445995000
106,GET,large.txt,153600,38,0,1862313429627000,1862313429775000,1862313602661000
107,GET,small.txt,1024,1,0,1862313429707000,1862313430127000,1862313430950000
108,GET,longline.txt,160008,40,0,1862313430400000,1862313430677000,1862313447713000
109,PUT,large.txt,153600,38,0,1862313431427000,1862313431636000,1862313447388000
110,GET,longline.txt,160008,40,0,1862313431743000,1862313431948000,1862313454692000
111,GET,large.txt,153600,38,0,1862313433891000,1862313434012000,1862313597323000
112,PUT,small.txt,1024,1,0,1862313441873000,1862313442330000,1862313442575000
113,GET,small.txt,1024,1,0,1862313442741000,1862313443081000,1862313443618000
114,GET,small.txt,1024,1,0,1862313443695000,1862313444077000,1862313444497000
115,PUT,longline.txt,160008,40,0,1862313444659000,1862313444876000,1862313495983000
116,PUT,longline.txt,160008,40,0,1862313446162000,1862313446458000,1862313501801000
117,GET,small.txt,1024,1,0,1862313447464000,1862313447873000,1862313448475000
118,GET,medium.txt,30720,8,0,1862313447800000,1862313448583000,1862313479626000
119,PUT,large.txt,153600,38,0,1862313448739000,1862313449080000,1862313503501000
120,GET,large.txt,153600,38,0,1862313454836000,1862313456273000,1862313632141000
121,GET,small.txt,1024,1,0,1862313479736000,1862313480128000,1862313480494000
122,PUT,longline.txt,160008,40,0,1862313480702000,1862313481846000,1862313549727000
123,PUT,small.txt,1024,1,0,1862313496114000,1862313497500000,1862313497740000
124,GET,medium.txt,30720,8,0,1862313497879000,1862313498683000,1862313529664000
125,GET,small.txt,1024,1,0,1862313501937000,1862313503509000,1862313504090000
126,PUT,longline.txt,160008,40,0,1862313503737000,1862313504707000,1862313597738000
127,GET,large.txt,153600,38,0,1862313504200000,1862313504810000,1862313673011000
128,GET,small.txt,1024,1,0,1862313505879000,1862313508009000,1862313508320000
129,GET,large.txt,153600,38,0,1862313508449000,1862313510680000,1862313688693000
